#           k/h    P           
   0.420980E-02   0.134833E+05
   0.429484E-02   0.136829E+05
   0.438160E-02   0.138840E+05
   0.447012E-02   0.140866E+05
   0.456042E-02   0.142906E+05
   0.465255E-02   0.144959E+05
   0.474653E-02   0.147025E+05
   0.484242E-02   0.149104E+05
   0.494024E-02   0.151195E+05
   0.504004E-02   0.153297E+05
   0.514186E-02   0.155409E+05
   0.524573E-02   0.157531E+05
   0.535170E-02   0.159661E+05
   0.545981E-02   0.161800E+05
   0.557011E-02   0.163946E+05
   0.568263E-02   0.166098E+05
   0.579743E-02   0.168256E+05
   0.591455E-02   0.170418E+05
   0.603403E-02   0.172583E+05
   0.615592E-02   0.174751E+05
   0.628028E-02   0.176920E+05
   0.640715E-02   0.179089E+05
   0.653658E-02   0.181257E+05
   0.666863E-02   0.183423E+05
   0.680335E-02   0.185585E+05
   0.694078E-02   0.187742E+05
   0.708100E-02   0.189893E+05
   0.722404E-02   0.192037E+05
   0.736998E-02   0.194171E+05
   0.751886E-02   0.196295E+05
   0.767075E-02   0.198406E+05
   0.782571E-02   0.200503E+05
   0.798380E-02   0.202585E+05
   0.814509E-02   0.204650E+05
   0.830963E-02   0.206696E+05
   0.847750E-02   0.208721E+05
   0.864875E-02   0.210723E+05
   0.882347E-02   0.212700E+05
   0.900171E-02   0.214651E+05
   0.918356E-02   0.216573E+05
   0.936908E-02   0.218464E+05
   0.955835E-02   0.220322E+05
   0.975144E-02   0.222145E+05
   0.994843E-02   0.223931E+05
   0.101494E-01   0.225677E+05
   0.103544E-01   0.227380E+05
   0.105636E-01   0.229040E+05
   0.107770E-01   0.230652E+05
   0.109947E-01   0.232215E+05
   0.112168E-01   0.233725E+05
   0.114434E-01   0.235181E+05
   0.116746E-01   0.236580E+05
   0.119104E-01   0.237919E+05
   0.121510E-01   0.239196E+05
   0.123965E-01   0.240407E+05
   0.126469E-01   0.241549E+05
   0.129024E-01   0.242621E+05
   0.131631E-01   0.243620E+05
   0.134290E-01   0.244541E+05
   0.137003E-01   0.245384E+05
   0.139770E-01   0.246144E+05
   0.142594E-01   0.246820E+05
   0.145474E-01   0.247408E+05
   0.148413E-01   0.247905E+05
   0.151411E-01   0.248309E+05
   0.154470E-01   0.248618E+05
   0.157590E-01   0.248828E+05
   0.160774E-01   0.248937E+05
   0.164022E-01   0.248942E+05
   0.167335E-01   0.248842E+05
   0.170716E-01   0.248634E+05
   0.174164E-01   0.248316E+05
   0.177683E-01   0.247885E+05
   0.181272E-01   0.247341E+05
   0.184934E-01   0.246681E+05
   0.188670E-01   0.245904E+05
   0.192481E-01   0.245008E+05
   0.196370E-01   0.243993E+05
   0.200337E-01   0.242858E+05
   0.204384E-01   0.241602E+05
   0.208513E-01   0.240225E+05
   0.212725E-01   0.238727E+05
   0.217022E-01   0.237108E+05
   0.221406E-01   0.235369E+05
   0.225879E-01   0.233512E+05
   0.230442E-01   0.231537E+05
   0.235097E-01   0.229447E+05
   0.239847E-01   0.227244E+05
   0.244692E-01   0.224930E+05
   0.249635E-01   0.222508E+05
   0.254678E-01   0.219983E+05
   0.259823E-01   0.217358E+05
   0.265072E-01   0.214638E+05
   0.270426E-01   0.211827E+05
   0.275889E-01   0.208932E+05
   0.281463E-01   0.205957E+05
   0.287149E-01   0.202911E+05
   0.292949E-01   0.199798E+05
   0.298867E-01   0.196627E+05
   0.304905E-01   0.193406E+05
   0.311064E-01   0.190142E+05
   0.317348E-01   0.186844E+05
   0.323759E-01   0.183521E+05
   0.330299E-01   0.180181E+05
   0.336972E-01   0.176834E+05
   0.343779E-01   0.173489E+05
   0.350724E-01   0.170157E+05
   0.357809E-01   0.166843E+05
   0.365038E-01   0.163544E+05
   0.372412E-01   0.160260E+05
   0.379935E-01   0.157019E+05
   0.387610E-01   0.153838E+05
   0.395440E-01   0.150723E+05
   0.403429E-01   0.147685E+05
   0.411579E-01   0.144732E+05
   0.419893E-01   0.141872E+05
   0.428375E-01   0.139111E+05
   0.437029E-01   0.136453E+05
   0.445858E-01   0.133903E+05
   0.454865E-01   0.131460E+05
   0.464053E-01   0.129126E+05
   0.473428E-01   0.126898E+05
   0.482992E-01   0.124774E+05
   0.492749E-01   0.122749E+05
   0.502703E-01   0.120818E+05
   0.512858E-01   0.118974E+05
   0.523219E-01   0.117211E+05
   0.533789E-01   0.115525E+05
   0.544572E-01   0.113895E+05
   0.555573E-01   0.112317E+05
   0.566796E-01   0.110849E+05
   0.578246E-01   0.109479E+05
   0.589927E-01   0.108127E+05
   0.601845E-01   0.106737E+05
   0.614003E-01   0.105321E+05
   0.626407E-01   0.103892E+05
   0.639061E-01   0.102430E+05
   0.651971E-01   0.100909E+05
   0.665142E-01   0.993123E+04
   0.678578E-01   0.976285E+04
   0.692287E-01   0.958450E+04
   0.706272E-01   0.939514E+04
   0.720539E-01   0.919425E+04
   0.735095E-01   0.898169E+04
   0.749945E-01   0.875779E+04
   0.765095E-01   0.852327E+04
   0.780551E-01   0.827932E+04
   0.796319E-01   0.802746E+04
   0.812406E-01   0.776950E+04
   0.828817E-01   0.750749E+04
   0.845561E-01   0.724365E+04
   0.862642E-01   0.698030E+04
   0.880068E-01   0.671991E+04
   0.897847E-01   0.646498E+04
   0.915985E-01   0.621805E+04
   0.934489E-01   0.598162E+04
   0.953367E-01   0.575804E+04
   0.972626E-01   0.554940E+04
   0.992274E-01   0.535732E+04
   0.101232E+00   0.518288E+04
   0.103277E+00   0.502649E+04
   0.105363E+00   0.488781E+04
   0.107492E+00   0.476583E+04
   0.109663E+00   0.465891E+04
   0.111879E+00   0.456490E+04
   0.114139E+00   0.448121E+04
   0.116445E+00   0.440490E+04
   0.118797E+00   0.433269E+04
   0.121197E+00   0.426101E+04
   0.123645E+00   0.418617E+04
   0.126143E+00   0.410461E+04
   0.128691E+00   0.401333E+04
   0.131291E+00   0.391027E+04
   0.133943E+00   0.379474E+04
   0.136649E+00   0.366750E+04
   0.139409E+00   0.353056E+04
   0.142226E+00   0.338690E+04
   0.145099E+00   0.323993E+04
   0.148030E+00   0.309324E+04
   0.151020E+00   0.295045E+04
   0.154071E+00   0.281508E+04
   0.157184E+00   0.269039E+04
   0.160359E+00   0.257905E+04
   0.163598E+00   0.248260E+04
   0.166903E+00   0.240115E+04
   0.170275E+00   0.233328E+04
   0.173715E+00   0.227631E+04
   0.177224E+00   0.222677E+04
   0.180804E+00   0.218084E+04
   0.184457E+00   0.213469E+04
   0.188183E+00   0.208481E+04
   0.191985E+00   0.202844E+04
   0.195863E+00   0.196405E+04
   0.199820E+00   0.189172E+04
   0.203856E+00   0.181306E+04
   0.207974E+00   0.173091E+04
   0.212176E+00   0.164871E+04
   0.216462E+00   0.157020E+04
   0.220835E+00   0.149871E+04
   0.225296E+00   0.143614E+04
   0.229847E+00   0.138337E+04
   0.234490E+00   0.133919E+04
   0.239227E+00   0.130137E+04
   0.244060E+00   0.126694E+04
