#           k/h    P           
   0.420980E-02   0.123063E+05
   0.429484E-02   0.124907E+05
   0.438160E-02   0.126767E+05
   0.447012E-02   0.128640E+05
   0.456042E-02   0.130527E+05
   0.465255E-02   0.132428E+05
   0.474653E-02   0.134341E+05
   0.484242E-02   0.136267E+05
   0.494024E-02   0.138204E+05
   0.504004E-02   0.140153E+05
   0.514186E-02   0.142112E+05
   0.524573E-02   0.144081E+05
   0.535170E-02   0.146059E+05
   0.545981E-02   0.148046E+05
   0.557011E-02   0.150040E+05
   0.568263E-02   0.152041E+05
   0.579743E-02   0.154049E+05
   0.591455E-02   0.156061E+05
   0.603403E-02   0.158078E+05
   0.615592E-02   0.160099E+05
   0.628028E-02   0.162121E+05
   0.640715E-02   0.164146E+05
   0.653658E-02   0.166171E+05
   0.666863E-02   0.168195E+05
   0.680335E-02   0.170217E+05
   0.694078E-02   0.172236E+05
   0.708100E-02   0.174251E+05
   0.722404E-02   0.176261E+05
   0.736998E-02   0.178263E+05
   0.751886E-02   0.180258E+05
   0.767075E-02   0.182243E+05
   0.782571E-02   0.184217E+05
   0.798380E-02   0.186179E+05
   0.814509E-02   0.188127E+05
   0.830963E-02   0.190059E+05
   0.847750E-02   0.191974E+05
   0.864875E-02   0.193870E+05
   0.882347E-02   0.195745E+05
   0.900171E-02   0.197598E+05
   0.918356E-02   0.199427E+05
   0.936908E-02   0.201230E+05
   0.955835E-02   0.203005E+05
   0.975144E-02   0.204749E+05
   0.994843E-02   0.206462E+05
   0.101494E-01   0.208141E+05
   0.103544E-01   0.209783E+05
   0.105636E-01   0.211387E+05
   0.107770E-01   0.212951E+05
   0.109947E-01   0.214472E+05
   0.112168E-01   0.215947E+05
   0.114434E-01   0.217375E+05
   0.116746E-01   0.218754E+05
   0.119104E-01   0.220080E+05
   0.121510E-01   0.221352E+05
   0.123965E-01   0.222566E+05
   0.126469E-01   0.223721E+05
   0.129024E-01   0.224814E+05
   0.131631E-01   0.225843E+05
   0.134290E-01   0.226804E+05
   0.137003E-01   0.227695E+05
   0.139770E-01   0.228514E+05
   0.142594E-01   0.229258E+05
   0.145474E-01   0.229925E+05
   0.148413E-01   0.230511E+05
   0.151411E-01   0.231015E+05
   0.154470E-01   0.231435E+05
   0.157590E-01   0.231767E+05
   0.160774E-01   0.232009E+05
   0.164022E-01   0.232159E+05
   0.167335E-01   0.232214E+05
   0.170716E-01   0.232173E+05
   0.174164E-01   0.232034E+05
   0.177683E-01   0.231793E+05
   0.181272E-01   0.231451E+05
   0.184934E-01   0.231004E+05
   0.188670E-01   0.230452E+05
   0.192481E-01   0.229792E+05
   0.196370E-01   0.229025E+05
   0.200337E-01   0.228148E+05
   0.204384E-01   0.227161E+05
   0.208513E-01   0.226063E+05
   0.212725E-01   0.224855E+05
   0.217022E-01   0.223536E+05
   0.221406E-01   0.222106E+05
   0.225879E-01   0.220566E+05
   0.230442E-01   0.218917E+05
   0.235097E-01   0.217160E+05
   0.239847E-01   0.215297E+05
   0.244692E-01   0.213329E+05
   0.249635E-01   0.211259E+05
   0.254678E-01   0.209090E+05
   0.259823E-01   0.206825E+05
   0.265072E-01   0.204467E+05
   0.270426E-01   0.202021E+05
   0.275889E-01   0.199490E+05
   0.281463E-01   0.196880E+05
   0.287149E-01   0.194196E+05
   0.292949E-01   0.191444E+05
   0.298867E-01   0.188629E+05
   0.304905E-01   0.185759E+05
   0.311064E-01   0.182839E+05
   0.317348E-01   0.179878E+05
   0.323759E-01   0.176883E+05
   0.330299E-01   0.173862E+05
   0.336972E-01   0.170823E+05
   0.343779E-01   0.167773E+05
   0.350724E-01   0.164722E+05
   0.357809E-01   0.161681E+05
   0.365038E-01   0.158653E+05
   0.372412E-01   0.155635E+05
   0.379935E-01   0.152633E+05
   0.387610E-01   0.149658E+05
   0.395440E-01   0.146728E+05
   0.403429E-01   0.143858E+05
   0.411579E-01   0.141053E+05
   0.419893E-01   0.138322E+05
   0.428375E-01   0.135673E+05
   0.437029E-01   0.133110E+05
   0.445858E-01   0.130639E+05
   0.454865E-01   0.128262E+05
   0.464053E-01   0.125981E+05
   0.473428E-01   0.123795E+05
   0.482992E-01   0.121704E+05
   0.492749E-01   0.119705E+05
   0.502703E-01   0.117793E+05
   0.512858E-01   0.115963E+05
   0.523219E-01   0.114209E+05
   0.533789E-01   0.112526E+05
   0.544572E-01   0.110907E+05
   0.555573E-01   0.109344E+05
   0.566796E-01   0.107827E+05
   0.578246E-01   0.106365E+05
   0.589927E-01   0.104994E+05
   0.601845E-01   0.103693E+05
   0.614003E-01   0.102381E+05
   0.626407E-01   0.101013E+05
   0.639061E-01   0.996051E+04
   0.651971E-01   0.981707E+04
   0.665142E-01   0.966914E+04
   0.678578E-01   0.951446E+04
   0.692287E-01   0.935180E+04
   0.706272E-01   0.918027E+04
   0.720539E-01   0.899907E+04
   0.735095E-01   0.880759E+04
   0.749945E-01   0.860574E+04
   0.765095E-01   0.839378E+04
   0.780551E-01   0.817240E+04
   0.796319E-01   0.794260E+04
   0.812406E-01   0.770577E+04
   0.828817E-01   0.746356E+04
   0.845561E-01   0.721782E+04
   0.862642E-01   0.697057E+04
   0.880068E-01   0.672395E+04
   0.897847E-01   0.648016E+04
   0.915985E-01   0.624148E+04
   0.934489E-01   0.601017E+04
   0.953367E-01   0.578848E+04
   0.972626E-01   0.557848E+04
   0.992274E-01   0.538202E+04
   0.101232E+00   0.520053E+04
   0.103277E+00   0.503496E+04
   0.105363E+00   0.488563E+04
   0.107492E+00   0.475223E+04
   0.109663E+00   0.463382E+04
   0.111879E+00   0.452893E+04
   0.114139E+00   0.443562E+04
   0.116445E+00   0.435162E+04
   0.118797E+00   0.427430E+04
   0.121197E+00   0.420077E+04
   0.123645E+00   0.412788E+04
   0.126143E+00   0.405231E+04
   0.128691E+00   0.397085E+04
   0.131291E+00   0.388074E+04
   0.133943E+00   0.378012E+04
   0.136649E+00   0.366837E+04
   0.139409E+00   0.354625E+04
   0.142226E+00   0.341571E+04
   0.145099E+00   0.327954E+04
   0.148030E+00   0.314085E+04
   0.151020E+00   0.300283E+04
   0.154071E+00   0.286856E+04
   0.157184E+00   0.274102E+04
   0.160359E+00   0.262305E+04
   0.163598E+00   0.251705E+04
   0.166903E+00   0.242449E+04
   0.170275E+00   0.234554E+04
   0.173715E+00   0.227891E+04
   0.177224E+00   0.222208E+04
   0.180804E+00   0.217181E+04
   0.184457E+00   0.212466E+04
   0.188183E+00   0.207733E+04
   0.191985E+00   0.202686E+04
   0.195863E+00   0.197091E+04
   0.199820E+00   0.190812E+04
   0.203856E+00   0.183848E+04
   0.207974E+00   0.176345E+04
   0.212176E+00   0.168558E+04
   0.216462E+00   0.160800E+04
   0.220835E+00   0.153387E+04
   0.225296E+00   0.146588E+04
   0.229847E+00   0.140602E+04
   0.234490E+00   0.135459E+04
   0.239227E+00   0.131095E+04
   0.244060E+00   0.127301E+04
   0.248990E+00   0.123806E+04
   0.254020E+00   0.120344E+04
   0.259152E+00   0.116676E+04
   0.264387E+00   0.112687E+04
   0.269728E+00   0.108345E+04
   0.275177E+00   0.103775E+04
   0.280736E+00   0.991538E+03
   0.286407E+00   0.947145E+03
   0.292193E+00   0.906536E+03
   0.298096E+00   0.870393E+03
   0.304118E+00   0.838726E+03
   0.310261E+00   0.810368E+03
   0.316529E+00   0.783869E+03
   0.322923E+00   0.757479E+03
   0.329447E+00   0.729890E+03
   0.336102E+00   0.701047E+03
   0.342892E+00   0.671442E+03
   0.349819E+00   0.642367E+03
   0.356885E+00   0.614956E+03
   0.364095E+00   0.589874E+03
   0.371450E+00   0.567244E+03
   0.378954E+00   0.546278E+03
   0.386609E+00   0.526139E+03
   0.394419E+00   0.506042E+03
   0.402387E+00   0.485654E+03
   0.410516E+00   0.465329E+03
   0.418809E+00   0.445559E+03
   0.427269E+00   0.426934E+03
   0.435901E+00   0.409665E+03
   0.444706E+00   0.393465E+03
   0.453690E+00   0.377972E+03
   0.462855E+00   0.362769E+03
   0.472206E+00   0.347747E+03
   0.481745E+00   0.333114E+03
   0.491477E+00   0.319078E+03
   0.501405E+00   0.305814E+03
   0.511534E+00   0.293276E+03
   0.521868E+00   0.281234E+03
   0.532411E+00   0.269558E+03
   0.543166E+00   0.258209E+03
   0.554139E+00   0.247248E+03
   0.565333E+00   0.236792E+03
   0.576753E+00   0.226834E+03
   0.588404E+00   0.217287E+03
   0.600291E+00   0.208095E+03
   0.612418E+00   0.199223E+03
   0.624789E+00   0.190690E+03
   0.637411E+00   0.182531E+03
   0.650288E+00   0.174728E+03
   0.663424E+00   0.167242E+03
   0.676826E+00   0.160054E+03
   0.690499E+00   0.153154E+03
   0.704448E+00   0.146532E+03
   0.718679E+00   0.140180E+03
   0.733197E+00   0.134086E+03
   0.748009E+00   0.128243E+03
   0.763119E+00   0.122641E+03
   0.778536E+00   0.117272E+03
   0.794263E+00   0.112126E+03
   0.810308E+00   0.107197E+03
   0.826677E+00   0.102475E+03
   0.843378E+00   0.979534E+02
   0.860415E+00   0.936229E+02
   0.877797E+00   0.894761E+02
   0.895529E+00   0.855055E+02
   0.913620E+00   0.817041E+02
   0.932076E+00   0.780649E+02
